Number,Sex,Survived,NameSet,Title,Name,Age,Pclass,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,male,0,American,Mr.,Gregory Akins,22,3,1,0,A/5 21171,7.25,,S
2,male,1,American,Mr.,Matthew Erazo,38,1,1,0,PC 17599,712.833,C85,C
3,male,1,American,Mr.,Cornell Banks,26,3,0,0,STON/O2. 3101282,7.925,,S
4,male,1,American,Mr.,Sonny Pando,35,1,1,0,113803,53.1,C123,S
5,female,0,American,Dr.,Marie Dawson,35,3,0,0,373450,8.05,,S
6,female,0,American,Dr.,Socorro Kopp,,3,0,0,330877,84.583,,Q
7,male,0,American,Mr.,John Mayhew,54,1,0,0,17463,518.625,E46,S
8,female,0,American,Ms.,Jessica Smith,2,3,3,1,349909,21.075,,S
9,male,1,American,Mr.,Vernon Mosley,27,3,0,2,347742,111.333,,S
10,male,1,American,Mr.,Carl Elliott,14,2,1,0,237736,300.708,,C
11,female,1,American,Mrs.,Judith Nielsen,4,3,1,1,PP 9549,16.7,G6,S
12,male,1,American,Mr.,Eugene Vermillion,58,1,0,0,113783,26.55,C103,S
13,female,0,American,Ms.,Aileen Ehret,20,3,0,0,A/5. 2151,8.05,,S
14,male,0,American,Mr.,Cruz Gray,39,3,1,5,347082,31.275,,S
15,male,0,American,Mr.,Gail Bryant,14,3,0,0,350406,78.542,,S
16,male,1,American,Mr.,John Foreman,55,2,0,0,248706,16,,S
17,male,0,American,Mr.,Michael Barrett,2,3,4,1,382652,29.125,,Q
18,male,1,American,Mr.,James Olvera,,2,0,0,244373,13,,S
19,male,0,American,Mr.,Emmett Pittman,31,3,1,0,345763,18,,S
20,male,1,American,Mr.,Larry Macias,,3,0,0,2649,7.225,,C
21,male,0,American,Mr.,Daniel Thompson,35,2,0,0,239865,26,,S
22,male,1,American,Mr.,Morris Perez,34,2,0,0,248698,13,D56,S
23,male,1,American,Mr.,Gregory Hawk,15,3,0,0,330923,80.292,,Q
24,female,1,American,Mrs.,Jessie Joiner,28,1,0,0,113788,35.5,A6,S
25,male,0,American,Mr.,Tad McLennan,8,3,3,1,349909,21.075,,S
26,female,1,American,Mrs.,Nedra Gleaton,38,3,1,5,347077,313.875,,S
27,female,0,American,Ms.,Bethany Nelson,,3,0,0,2631,7.225,,C
28,male,0,American,Mr.,Corey Baldwin,19,1,3,2,19950,263,C23 C25 C27,S
29,male,1,American,Mr.,Raymond Jernigan,,3,0,0,330959,78.792,,Q
30,female,0,American,Mrs.,Cathy McCoy,,3,0,0,349216,78.958,,S
31,male,0,American,Mr.,Carlos Bible,40,1,0,0,PC 17601,277.208,,C
32,female,1,American,Mrs.,Angelina Griffin,,1,1,0,PC 17569,1.465.208,B78,C
33,male,1,American,Mr.,Paul Castanon,,3,0,0,335677,7.75,,Q
34,female,0,American,Mrs.,Alma Henderson,66,2,0,0,C.A. 24579,10.5,,S
35,female,0,American,Ms.,Clarice McFadden,28,1,1,0,PC 17604,821.708,,C
36,female,0,American,Ms.,Angela Thompson,42,1,1,0,113789,52,,S
37,female,1,American,Ms.,Matilda Hyatt,,3,0,0,2677,72.292,,C
38,male,0,American,Mr.,Jeffrey Jimenez,21,3,0,0,A./5. 2152,8.05,,S
39,male,0,American,Mr.,Aaron Phelps,18,3,2,0,345764,18,,S
40,female,1,American,Ms.,Dorothy Ward,14,3,1,0,2651,112.417,,C
41,male,0,American,Mr.,Joseph Cajigas,40,3,1,0,7546,9.475,,S
42,male,0,American,Mr.,Charles Wright,27,2,1,0,11668,21,,S
43,male,0,American,Mr.,James Griggs,,3,0,0,349253,78.958,,C
44,male,1,American,Mr.,Ivan Chase,3,2,1,2,SC/Paris 2123,415.792,,C
45,female,1,American,Mrs.,Mary Kaufman,19,3,0,0,330958,78.792,,Q
46,female,0,American,Mrs.,Carol McDonough,,3,0,0,S.C./A.4. 23567,8.05,,S
47,male,0,American,Mr.,Ronald Dowdy,,3,1,0,370371,15.5,,Q
48,female,1,American,Ms.,Connie Garcia,,3,0,0,14311,7.75,,Q
49,male,0,American,Mr.,Herman Park,,3,2,0,2662,216.792,,C
50,female,0,American,Ms.,Amanda Arrington,18,3,1,0,349237,17.8,,S
51,male,0,American,Mr.,George Sicard,7,3,4,1,3101295,396.875,,S
52,male,0,American,Mr.,Kevin Salcedo,21,3,0,0,A/4. 39886,7.8,,S
53,male,1,American,Mr.,Thomas Crossland,49,1,1,0,PC 17572,767.292,D33,C
54,male,1,American,Mr.,Douglas Simms,29,2,1,0,2926,26,,S
55,male,0,American,Mr.,James Dingman,65,1,0,1,113509,619.792,B30,C
56,male,1,American,Mr.,Cody Thomas,,1,0,0,19947,35.5,C52,S
57,female,1,American,Mrs.,Brittany Brown,21,2,0,0,C.A. 31026,10.5,,S
58,female,0,American,Ms.,Debra Voss,28.5,3,0,0,2697,72.292,,C
59,male,1,American,Mr.,Randy Favors,5,2,1,2,C.A. 34651,27.75,,S
60,male,0,American,Mr.,Randy Graham,11,3,5,2,CA 2144,46.9,,S
61,male,0,American,Mr.,James Payne,22,3,0,0,2669,72.292,,C
62,female,1,American,Mrs.,Cassandra Roe,38,1,0,0,113572,80,B28,
63,male,0,American,Mr.,Mervin Manrique,45,1,1,0,36973,83.475,C83,S
64,female,0,American,Ms.,Ava Makowski,4,3,3,2,347088,27.9,,S
65,female,0,American,Ms.,Jessica Couey,,1,0,0,PC 17605,277.208,,C
66,female,1,American,Mrs.,Alisa Steinhoff,,3,1,1,2661,152.458,,C
67,female,1,American,Ms.,Ester Carbone,29,2,0,0,C.A. 29395,10.5,F33,S
68,female,0,American,Mrs.,Rhonda Shelley,19,3,0,0,S.P. 3464,81.583,,S
69,female,1,American,Dr.,Mary Baker,17,3,4,2,3101281,7.925,,S
