Number,StreetAddress,City,State,StateFull,TelephoneNumber,TropicalZodiac,CCNumber,FulColor,Occupation,Company,Centimeters,Kilograms
1,1554 Orchard Street,Eden Prairie,MN,Minnesota,952-828-5758,Sagittarius,4485926276405042,black,Decommissioning and decontamination (D&D) worker,Monmax,188,68.3
2,2826 Irving Road,Mansfield,OH,Ohio,740-485-4116,Gemini,5121206767679273,black,"Production, planning, and expediting clerk",Harold's,185,84.3
3,3212 Emma Street,Miami,TX,Texas,806-868-2588,Capricorn,5149671311205461,dark skinned,Coil finisher,Matrix Architectural Service,165,71.1
4,614 Holt Street,West Palm Beach,FL,Florida,561-239-9393,Cancer,5560293349505968,black,Marketing coordinator,Micro Design,185,98.6
5,2199 Quincy Street,Philadelphia,PA,Pennsylvania,267-481-6304,Aries,5466109591747634,black,Lease driver,Fragrant Flower Lawn Services,163,52.8
6,2456 High Meadow Lane,Lewisburg,PA,Pennsylvania,570-522-9790,Gemini,4485632147396838,black,Letterpress setter,Realty Zone,165,99.1
7,1982 Abner Road,Appleton,WI,Wisconsin,715-401-6660,Sagittarius,4.53999E+15,dark skinned,Social scientist,Buehler Foods,169,95.3
8,4955 Hudson Street,Parsippany,NJ,New Jersey,973-901-8869,Aquarius,4929923144396051,black,Cardiac and vascular nurse,County Market,165,60.5
9,3788 Butternut Lane,Belleville,IL,Illinois,618-505-3955,Pisces,5491717892035753,black,Hand packager,Opti-Tek,183,102.4
10,3302 Walkers Ridge Way,Bensenville,IL,Illinois,630-276-4475,Libra,5599874093949695,black,Digital image processor,Delchamps,162,79
11,3882 Nickel Road,Los Angeles,CA,California,626-604-6601,Pisces,4485969900999055,white,Commercial and industrial designer,Ukrop's Super Market,163,67.6
12,1922 Hickory Ridge Drive,Las Vegas,NV,Nevada,702-640-1254,Leo,4716058899279785,black,Oral and maxillofacial surgeon,Buena Vista Realty Service,162,63.7
13,1949 Winifred Way,Anderson,IN,Indiana,765-683-2437,Sagittarius,4929011937696448,white,Ceramic engineer,Casa Bonita,164,56.9
14,4852 McVaney Road,Rutherfordton,NC,North Carolina,828-287-5015,Gemini,4716537367135272,black,Human resources recruiter,Listen Up,174,113.9
15,4749 Winifred Way,Muncie,IN,Indiana,765-722-1425,Pisces,5175994106438627,black,Ophthalmic medical assistant,Galaxy Man,188,70.9
16,3800 Rockwell Lane,New Bern,NC,North Carolina,252-634-1019,Aries,4916939239935087,dark skinned,Postsecondary vocational-technical education teacher,Almacs,183,75.7
17,3910 Hillcrest Lane,Irvine,CA,California,949-936-9320,Virgo,5273277559179307,dark skinned,Therapeutic recreation specialist,Infinite Wealth Planners,169,65.4
18,590 Traction Street,Spartanburg,SC,South Carolina,864-574-8261,Sagittarius,5409346531983339,black,Tax accountant,Farmer Jack,168,67.9
19,3706 Martha Ellen Drive,Lake Valley,NV,Nevada,775-724-5558,Libra,4539808131994574,black,Companion,Angel's,173,78.7
20,4326 Henery Street,Wichita,KS,Kansas,316-993-4691,Sagittarius,4716098256714271,black,Slot key person,Jacob Reed and Sons,177,82.5
21,873 Lowndes Hill Park Road,Bakersfield,CA,California,661-438-4748,Scorpio,5407498595742887,black,Electrical and electronic equipment assembler,Architectural Genie,183,108.9
22,604 Marshville Road,Monsey,NY,New York,845-685-7018,Aquarius,4929226819789067,black,Chiropractor,Bell Markets,167,66.7
23,301 Smith Street,Worcester,MA,Massachusetts,508-844-9724,Pisces,4.48514E+15,dark skinned,Adjuster,Value Giant,173,75.8
24,2679 Glory Road,Leoma,TN,Tennessee,931-852-9136,Cancer,5457224740800712,white,Maintenance electrician,ManCharm,154,83.5
25,3833 West Fork Drive,Fort Lauderdale,FL,Florida,954-402-1586,Taurus,4556891341314708,white,Automotive service technician,McDuff,182,81.7
26,4916 Union Street,Seattle,WA,Washington,206-709-2340,Scorpio,5213416917272015,black,Management consultant,Flexus,169,68.5
27,1735 Bingamon Road,Cleveland,OH,Ohio,440-578-2323,Sagittarius,5372497145663792,white,Range manager,Consumers and Consumers Express,175,57.6
28,581 Edington Drive,Carrollton,GA,Georgia,678-796-3103,Taurus,4716873406655552,black,Clerical assistant,Mikrotechnic,176,94.1
29,3967 Echo Lane,Dowagiac,MI,Michigan,269-782-1435,Libra,5146166764375898,dark skinned,Forging machine operator,The Spotted Cougar,174,77.4
30,3285 Lilac Lane,Brunswick,GA,Georgia,912-506-7304,Aquarius,4.91622E+15,black,Video control engineer,Big Bear Stores,157,55.4
31,1449 Adams Drive,Houston,TX,Texas,979-339-3864,Gemini,5391643734442844,black,Tax examiner,Brooks Fashions,176,74.7
32,2620 Calvin Street,Columbia,MD,Maryland,443-351-4664,Gemini,4716948869182268,white,Accounts receivable clerk,Tape World,167,98.5
33,4649 Buckhannan Avenue,Syracuse,NY,New York,315-473-0396,Scorpio,5217998712006595,black,Echocardiographer,Paul's Record Hut,182,77.4
34,4528 Hart Ridge Road,Grayling,MI,Michigan,989-344-9785,Leo,4916546662195327,black,Cosmetologist,The Wall,164,85.9
35,4108 Franklin Street,Dothan,AL,Alabama,334-685-7028,Libra,5336759203900928,dark skinned,Assistant cook,Frank and Seder,162,79
36,4601 Chicago Avenue,Fresno,CA,California,559-656-0827,Gemini,4485913308141381,white,Jewelry appraiser,Odyssey Records & Tapes,165,62.3
37,2090 D Street,Flint,MI,Michigan,586-541-0407,Capricorn,4916660596023693,black,Orthodontist,Red Fox Tavern,159,80.3
38,4459 Oakridge Lane,Sandersville,GA,Georgia,478-240-9823,Cancer,5391055673569901,dark skinned,Aquatic biologist,Big A Auto Parts,178,108.8
39,3054 Abner Road,Birnamwood,WI,Wisconsin,715-449-0094,Pisces,5.33109E+15,dark skinned,"Painting, coating, and decorating worker",Giant,172,81.3
40,4070 Upton Avenue,Westbrook,ME,Maine,207-854-5416,Taurus,5311660488056825,white,Timekeeper,Cut Rite Lawn Care,164,95.5
41,3233 Indiana Avenue,Mililani,HI,Hawaii,808-630-8262,Aries,4929395722068719,black,Managing editor,Lone Wolf Wealth Planning,179,65.6
42,4779 Woodstock Drive,Los Angeles,CA,California,626-538-4798,Sagittarius,5456198585692726,black,Chief executive officer,Golden's Distributors,176,72.8
43,4876 Ferry Street,Rainsville,AL,Alabama,256-717-4710,Scorpio,5173840501206295,white,Instructional materials director,Super Duper,165,102.7
44,2486 Pleasant Hill Road,Miami,FL,Florida,561-952-3075,Cancer,4929344519801544,black,Billing machine operator,Modern Architecture Design,183,74.7
45,4989 Chandler Drive,Conway,MO,Missouri,417-589-8042,Cancer,4532325525187423,white,Corporate office services manager,Soft Warehouse,175,65
46,2229 Angie Drive,Los Angeles,CA,California,714-982-7810,Virgo,4556833924396546,black,Coache,Tradewell,167,94
47,1892 Maud Street,Newark,DE,Delaware,302-758-9273,Taurus,5262314390126693,dark skinned,Numerical tool and process control programmer,Big Daddy's Restaurants,178,88.5
48,1603 New York Avenue,Euless,TX,Texas,817-991-9105,Gemini,5321807662027027,dark skinned,Podiatrist,Pointers,153,63
49,2820 Vernon Street,Encinitas,CA,California,760-642-7208,Sagittarius,4.533E+15,black,Nurse,Town and Country Convenience Stores,167,86.8
50,2562 Farland Avenue,Victoria,TX,Texas,830-485-4780,Taurus,5405364763027364,white,Cleaner,Jeans Unlimited,171,90.2
51,254 Gateway Avenue,Irvine,CA,California,661-877-8785,Taurus,4539268631711269,black,Staffing consultant,World of Fun,172,71.7
52,4845 Simons Hollow Road,Nuangola,PA,Pennsylvania,570-868-4980,Libra,5220509714981845,black,Radiologic technician,Mr Fables,162,65
53,2411 Margaret Street,Houston,TX,Texas,713-930-1146,Leo,5568424783375202,black,"Molding, coremaking, and casting machine setter",Muscle Factory,168,70.1
54,4118 Marshville Road,White Plains,NY,New York,845-589-4079,Sagittarius,5487306182872442,black,Medical translator,Club Wholesale,187,70.9
